diagnosis	diagnosis_category	source
Myelodysplastic syndrome with excess blasts	Myelodysplastic syndromes	ICD-O-3.2
Myelodysplastic syndrome with multilineage dysplasia	Myelodysplastic syndromes	ICD-O-3.2
Myelodysplastic syndrome with single lineage dysplasia	Myelodysplastic syndromes	ICD-O-3.2
Myelodysplastic syndrome, NOS	Myelodysplastic syndromes	ICD-O-3.2
Myeloid leukemia associated with Down syndrome	Myeloid leukemias	ICD-O-3.2
Myeloid leukemia, NOS	Myeloid leukemias	ICD-O-3.2
Myeloid sarcoma	Myeloid leukemias	ICD-O-3.2
Myeloproliferative neoplasm, unclassifiable	Other hematological neoplasms	ICD-O-3.2
Myoepithelial carcinoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Myoepithelioma, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Myofibroblastic sarcoma	Fibromatous neoplasms	ICD-O-3.2
Myofibroblastic tumor, NOS	Fibromatous neoplasms	ICD-O-3.2
Myofibroma	Fibromatous neoplasms	ICD-O-3.2
Myofibromatosis	Fibromatous neoplasms	ICD-O-3.2
Myxofibrosarcoma	Fibromatous neoplasms	ICD-O-3.2
Myxoid chondrosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Myxoid glioneuronal tumor	Glioneuronal and neuronal tumors	WHO CNS5
Myxoid liposarcoma	Lipomatous neoplasms	ICD-O-3.2
Myxopapillary ependymoma	Ependymoma;Gliomas	WHO CNS5;ICD-O-3.2
Myxosarcoma	Myxomatous neoplasms	ICD-O-3.2
Neoplasm, benign	Neoplasms, NOS	ICD-O-3.2
Neoplasm, malignant	Neoplasms, NOS	ICD-O-3.2
Neoplasm, malignant, uncertain whether primary or metastatic	Neoplasms, NOS	ICD-O-3.2
Neoplasm, metastatic	Neoplasms, NOS	ICD-O-3.2
Neoplasm, uncertain whether benign or malignant	Neoplasms, NOS	ICD-O-3.2
Neoplasm, uncertain whether benign or malignant#Neoplasm, NOS	Neoplasms, NOS	ICD-O-3.2
Nephroblastoma, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Neurilemoma, NOS	Nerve sheath tumors	ICD-O-3.2
Neuroblastoma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Neuroendocrine carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Neuroendocrine tumor, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Neuroepithelioma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Neurofibroma	Other CNS	WHO CNS5
Neurofibroma, NOS	Nerve sheath tumors	ICD-O-3.2
Neurofibromatosis, NOS	Nerve sheath tumors	ICD-O-3.2
Neuroma, NOS	Nerve sheath tumors	ICD-O-3.2
NK/T-cell lymphoma, nasal and nasal type	Mature T- and NK-cell lymphomas	ICD-O-3.2
Nodular melanoma	Nevi and melanomas	ICD-O-3.2
Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)	Adenomas and adenocarcinomas	ICD-O-3.2
Not Reported	Not Reported	Other
Nuclear protein in testis (NUT)-associated carcinoma	Epithelial neoplasms, NOS	ICD-O-3.2
Odontogenic Carcinosarcoma	Odontogenic tumors	ICD-O-3.2
Odontogenic tumor, malignant	Odontogenic tumors	ICD-O-3.2
Olfactory neuroblastoma	Neuroepitheliomatous neoplasms	ICD-O-3.2
Olfactory neurocytoma	Neuroepitheliomatous neoplasms	ICD-O-3.2
Oligoastrocytoma, NOS	Gliomas	ICD-O-3.2
Oligodendroglioma, anaplastic	Gliomas	ICD-O-3.2
Oligodendroglioma, anaplastic, NOS	Gliomas	ICD-O-3.2
Oligodendroglioma, IDH-mutant, and 1p/19q-codeleted	High-Grade Glioma;Low-Grade Glioma	WHO CNS5
Oligodendroglioma, NOS	Gliomas	ICD-O-3.2
Ossifying fibromyxoid tumor	Myxomatous neoplasms	ICD-O-3.2
Ossifying fibromyxoid tumor, NOS	Myxomatous neoplasms	ICD-O-3.2
Osteoblastoma, NOS	Osseous and chondromatous neoplasms	ICD-O-3.2
Osteosarcoma, NOS	Osseous and chondromatous neoplasms	ICD-O-3.2
Other low-grade B-cell lymphomas of the CNS	Other CNS	WHO CNS5
Pancreatic neuroendocrine tumor, nonfunctioning	Adenomas and adenocarcinomas	ICD-O-3.2
Pancreatoblastoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Papillary adenocarcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary carcinoma, columnar cell	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary carcinoma, encapsulated of thyroid	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary carcinoma, encapsulated, of thyroid	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary carcinoma, follicular variant	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary carcinoma in situ	Squamous cell neoplasms	ICD-O-3.2
Papillary carcinoma, NOS	Squamous cell neoplasms	ICD-O-3.2
Papillary craniopharyngioma	Craniopharyngioma	WHO CNS5
Papillary ependymoma	Gliomas	ICD-O-3.2
Papillary glioneuronal tumor	Glioneuronal and neuronal tumors;Neuroepitheliomatous neoplasms	WHO CNS5;ICD-O-3.2
Papillary intralymphatic angioendothelioma	Blood vessel tumors	ICD-O-3.2
Papillary microcarcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Papillary tumor of pineal region	Gliomas	ICD-O-3.2
Papillary tumor of the pineal region	Other CNS	WHO CNS5
Papillary urothelial carcinoma, non-invasive	Transitional cell papillomas and carcinomas	ICD-O-3.2
Paraganglioma	Other CNS	WHO CNS5
Paraganglioma, malignant	Paragangliomas and glomus tumors	ICD-O-3.2
Paraganglioma, NOS	Paragangliomas and glomus tumors	ICD-O-3.2
Parosteal osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Perineurioma	Other CNS	WHO CNS5
Periosteal osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Peripheral neuroectodermal tumor	Miscellaneous tumors	ICD-O-3.2
Perivascular epithelioid tumor, malignant	Paragangliomas and glomus tumors	ICD-O-3.2
Pheochromocytoma, malignant	Paragangliomas and glomus tumors	ICD-O-3.2
Pheochromocytoma, NOS	Paragangliomas and glomus tumors	ICD-O-3.2
Phyllodes tumor, benign	Fibroepithelial neoplasms	ICD-O-3.2
Phyllodes tumor, malignant	Fibroepithelial neoplasms	ICD-O-3.2
Pigmented dermatofibrosarcoma protuberans	Fibromatous neoplasms	ICD-O-3.2
Pigmented nevus, NOS	Nevi and melanomas	ICD-O-3.2
Pilocytic astrocytoma	Low-Grade Glioma;Gliomas	WHO CNS5;ICD-O-3.2
Pilomyxoid astrocytoma	Gliomas	ICD-O-3.2
Pineal parenchymal tumor of intermediate differentiation	Other CNS	WHO CNS5
Pinealoma	Miscellaneous tumors	ICD-O-3.2
Pineoblastoma	Other CNS Embryonal tumors;Miscellaneous tumors	WHO CNS5;ICD-O-3.2
Pineocytoma	Other CNS;Miscellaneous tumors	WHO CNS5;ICD-O-3.2
Pituicytoma, granular cell tumor of the sellar region, and spindle cell oncocytoma	Other CNS	WHO CNS5
Pituitary adenoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Pituitary adenoma/PitNET	Tumors of the sellar region;Other	MCI CNS Diagnosis Category;WHO CNS5
Pituitary blastoma	Tumors of the sellar region;Other	MCI CNS Diagnosis Category;WHO CNS5
Pituitary carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Plasmacytoma, extramedullary	Plasma cell neoplasms	ICD-O-3.2
Pleomorphic liposarcoma	Lipomatous neoplasms	ICD-O-3.2
Pleomorphic rhabdomyosarcoma, adult type	Myomatous neoplasms	ICD-O-3.2
Pleomorphic xanthoastrocytoma	High-Grade Glioma;Low-Grade Glioma	WHO CNS5
Pleomorphic xanthoastrocytoma, NOS	Gliomas	ICD-O-3.2
Pleuropulmonary blastoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Plexiform fibrohistiocytic tumor	Fibromatous neoplasms	ICD-O-3.2
Plexiform neurofibroma	Nerve sheath tumors	ICD-O-3.2
Polymorphous low-grade neuroepithelial tumor of the young	Low-Grade Glioma;Gliomas, glioneuronal tumors, and neuronal tumors;Pediatric-type diffuse low-grade gliomas	MCI CNS Diagnosis Category;WHO CNS5
Posterior fossa ependymoma	Gliomas, glioneuronal tumors, and neuronal tumors;Ependymal tumors	WHO CNS5
Posterior fossa ependymoma, group PFA	Ependymoma;Gliomas, glioneuronal tumors, and neuronal tumors;Ependymal tumors	MCI CNS Diagnosis Category;WHO CNS5
Posterior fossa ependymoma, group PFB	Ependymoma;Gliomas, glioneuronal tumors, and neuronal tumors;Ependymal tumors	MCI CNS Diagnosis Category;WHO CNS5
Posterior fossa ependymoma, NOS or NEC	Ependymoma	MCI CNS Diagnosis Category
Precancerous melanosis, NOS	Nevi and melanomas	ICD-O-3.2
Precursor B-cell lymphoblastic leukemia	Lymphoid leukemias	ICD-O-3.2
Precursor cell lymphoblastic leukemia, NOS	Lymphoid leukemias	ICD-O-3.2
Precursor cell lymphoblastic lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Precursor T-cell lymphoblastic leukemia	Lymphoid leukemias	ICD-O-3.2
Primary cutaneous CD30 positive T-cell lymphoproliferative disorder	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Primary cutaneous follicle center lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Primary diffuse large B-cell lymphoma of the CNS	Other CNS	WHO CNS5
Primary intracranial sarcoma, DICER1-mutant	CNS Sarcoma	WHO CNS5
Primitive neuroectodermal tumor, NOS	Gliomas	ICD-O-3.2
Prolactinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Proliferative dermal lesion in congenital nevus	Nevi and melanomas	ICD-O-3.2
Pseudosarcomatous carcinoma	Epithelial neoplasms, NOS	ICD-O-3.2
Renal cell carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Retinoblastoma, diffuse	Neuroepitheliomatous neoplasms	ICD-O-3.2
Retinoblastoma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Rhabdoid tumor, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Rhabdomyoma, NOS	Myomatous neoplasms	ICD-O-3.2
Rhabdomyosarcoma	CNS Sarcoma	WHO CNS5
Rhabdomyosarcoma, NOS	Myomatous neoplasms	ICD-O-3.2
Rosai-Dorfman disease	Other CNS	WHO CNS5
Rosette-forming glioneuronal tumor	Glioneuronal and neuronal tumors	WHO CNS5
Sarcoma with BCOR genetic alterations	Miscellaneous tumors	ICD-O-3.2
Sarcoma, NOS	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Schwannoma	Other CNS	WHO CNS5
Schwannoma, NOS	Nerve sheath tumors	ICD-O-3.2
Sclerosing stromal tumor	Specialized gonadal neoplasms	ICD-O-3.2
Sclerotic fibroma	Fibromatous neoplasms	ICD-O-3.2
Secretory carcinoma	Ductal and lobular neoplasms	ICD-O-3.2
Seminoma, NOS	Germ cell neoplasms	ICD-O-3.2
Serous borderline tumor, NOS	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Serous carcinoma, NOS	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Sertoli cell tumor, NOS	Specialized gonadal neoplasms	ICD-O-3.2
Sertoli-Leydig cell tumor of intermediate differentiation, NOS	Specialized gonadal neoplasms	ICD-O-3.2
Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements	Specialized gonadal neoplasms	ICD-O-3.2
Sertoli-Leydig cell tumor, poorly differentiated	Specialized gonadal neoplasms	ICD-O-3.2
Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements	Specialized gonadal neoplasms	ICD-O-3.2
Sex cord-gonadal stromal tumor, incompletely differentiated	Specialized gonadal neoplasms	ICD-O-3.2
Sex cord-gonadal stromal tumor, mixed forms	Specialized gonadal neoplasms	ICD-O-3.2
Sex cord-gonadal stromal tumor, NOS	Specialized gonadal neoplasms	ICD-O-3.2
Signet ring cell carcinoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Skin appendage adenoma	Adnexal and skin appendage neoplasms	ICD-O-3.2
Small cell carcinoma, intermediate cell	Epithelial neoplasms, NOS	ICD-O-3.2
Small cell carcinoma, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Small cell osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Small cell sarcoma	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Smooth muscle tumor of uncertain malignant potential	Myomatous neoplasms	ICD-O-3.2
Soft tissue tumor, benign	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Solid pseudopapillary carcinoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Solid pseudopapillary neoplasm of pancreas	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Solid pseudopapillary tumor of ovary	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Solitary fibrous tumor	Other CNS	WHO CNS5
Solitary fibrous tumor, malignant	Fibromatous neoplasms	ICD-O-3.2
Solitary fibrous tumor, NOS	Fibromatous neoplasms	ICD-O-3.2
Solitary fibrous tumor/Hemangiopericytoma, grade 1	Fibromatous neoplasms	ICD-O-3.2
Spinal ependymoma, MYCN-amplified	Ependymoma	WHO CNS5
Spinal ependymoma, NOS or NEC	Ependymoma	WHO CNS5
Spindle cell carcinoma, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Spindle cell rhabdomyosarcoma	Myomatous neoplasms	ICD-O-3.2
Spindle cell sarcoma	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Squamous cell carcinoma in situ, NOS	Squamous cell neoplasms	ICD-O-3.2
Squamous cell carcinoma, large cell, nonkeratinizing, NOS	Squamous cell neoplasms	ICD-O-3.2
Squamous cell carcinoma, metastatic, NOS	Squamous cell neoplasms	ICD-O-3.2
Squamous cell carcinoma, NOS	Squamous cell neoplasms	ICD-O-3.2
Squamous cell carcinoma, small cell, nonkeratinizing	Squamous cell neoplasms	ICD-O-3.2
Stromal tumor, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Subcutaneous panniculitis-like T-cell lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Subependymal giant cell astrocytoma	Low-Grade Glioma;Gliomas	WHO CNS5;ICD-O-3.2
Subependymoma	Ependymoma;Gliomas	WHO CNS5;ICD-O-3.2
Superficial spreading melanoma	Nevi and melanomas	ICD-O-3.2
Supratentorial ependymoma, NOS or NEC	Ependymoma	WHO CNS5
Supratentorial ependymoma, YAP1 fusion-positive	Ependymoma	WHO CNS5
Supratentorial ependymoma, ZFTA fusion-positive	Ependymoma	WHO CNS5
Sympathetic paraganglioma	Paragangliomas and glomus tumors	ICD-O-3.2
Synovial sarcoma, biphasic	Synovial-like neoplasms	ICD-O-3.2
Synovial sarcoma, NOS	Synovial-like neoplasms	ICD-O-3.2
Synovial sarcoma, spindle cell	Synovial-like neoplasms	ICD-O-3.2
T lymphoblastic leukemia/lymphoma	Lymphoid leukemias	ICD-O-3.2
T-cell and NK/T-cell lymphomas	Other CNS	WHO CNS5
T-cell/histiocyte rich large B-cell lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Telangiectatic osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Tenosynovial giant cell tumor, NOS	Giant cell tumors	ICD-O-3.2
Teratocarcinoma	Germ cell neoplasms	ICD-O-3.2
Teratoma with malignant transformation	Germ cell neoplasms	ICD-O-3.2
Teratoma, benign	Germ cell neoplasms	ICD-O-3.2
Teratoma, malignant, NOS	Germ cell neoplasms	ICD-O-3.2
Teratoma, NOS	Germ cell neoplasms	ICD-O-3.2
Thecoma, luteinized	Specialized gonadal neoplasms	ICD-O-3.2
Therapy-related myelodysplastic syndrome, NOS	Myelodysplastic syndromes	ICD-O-3.2
Therapy-related myeloid neoplasm	Myeloid leukemias	ICD-O-3.2
Thymic carcinoma, NOS	Thymic epithelial neoplasms	ICD-O-3.2
Thymoma, NOS	Thymic epithelial neoplasms	ICD-O-3.2
Transient abnormal myelopoiesis	Myeloid leukemias	ICD-O-3.2
Transitional cell carcinoma, NOS	Transitional cell papillomas and carcinomas	ICD-O-3.2
Transitional meningioma	Meningiomas	ICD-O-3.2
Tumor cells, benign	Neoplasms, NOS	ICD-O-3.2
Tumor cells, malignant	Neoplasms, NOS	ICD-O-3.2
Tumor cells, uncertain whether benign or malignant	Neoplasms, NOS	ICD-O-3.2
Undifferentiated sarcoma	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Unknown	Unknown	Other
Vipoma	Adenomas and adenocarcinomas	ICD-O-3.2
Yolk sac tumor, NOS	Germ cell neoplasms	ICD-O-3.2

